Aflatoxin;a liver-damaging toxin produced by certain food molds (Aspergillus flavus and Aspergillus parasiticus);Aflatoxín;lifrarskemmdir vegna eitrunar - framleitt af ákveðnum myglusvepp í matvælum (Aspergillus flavus and Aspergillus parasiticus);344/510/943/474/476/568;
African trypanosomiasis;;African trypanosomiasis;;656/988/780;
Agitation - Akathisia;;Uppnám - Hvíldaróþol;;3/230/7.83;
AIDS (1);;Alnæmi fyrsta stigsI;;1.44/1550/1500/249/418/727.5/787/880/2489/3100/3175/3475;
AIDS secondary;;Alnæmi annars stigs;;1113/2128/6121/33;
AIDS/Kaposi’’s sarcoma;;Sarkmein - AIDS / Kaposi;;249/418;
Alcoholism;Also run Candida - Fungi - Molds and Yeasts - aim to take out all sugar and sugar related products;Áfengissýki;Keyra einnig Candida - sveppir – mygla og ger – stefna að því að taka út allan sykur og sykur tengdar vörur;10000;
Allergies;;Ofnæmi;;10000/880/787/727.5/3/330/5000;
Alopecia (loss of hair);;Hárlos (Alopecia – loss of hair);;20/10000/880/787/727.5/465/146/800/1552;
Alternaria Tenuis;(a fungus associated with lung ailments);Alternaria tenuis;(a sveppur í tengslum við lungum kvillum);853/304;
Alzheimers Disease;Also run Heavy metal Aluminum and Mercury frequencies - try as well Lyme programs and detox;Alzheimers sjúkdómur (Alzheimars disease);Einnig keyra þungmálma - ál og kvikasilfur tíðnir - reyna líka “Lyme” forrit og afeitrunarforrit;430/620/624/840/866/2213/5148/19180.5;
Amoeba hepar abscess;liver abscess caused by amoebic infection;Amoeba ígerð hepar;ígerð lifur af völdum amoebic sýkingu;344/605;
Amoeba;a single-celled/sometimes-infectious microorganism;Amoeba;einn-celled / stundum smitandi örvera;310/333/532/732/769/827/1522;
Amyotrophic Lateral Sclerosis (ALS);Run for 20 minutes each freq.;Hreyfitaugungahrörun MND (Amyotrophic Lateral Sclerosis (ALS));Keyra í 20 mínútur hverja tíðni;864/790/610/692/980/660/690/727.5/484/986/644/254/2900;
Anal itching;also use Parasites enterobiasis and see Parasites general set;Endaþarmur - kláði (Anal itching);einnig nota sníkjudýr enterobiasis og sjá sníkjudýr almennt;10000/880/787/760/727.5/465/125/120/95/72/444/1865/20/773/826/827/835/4152;
Anaphylaxis;;Bráðaofnæmi;;10000;
Anemia;;Blóðleysi (Anemia);;5.16/62.5/110.25/332.41/517.5/684.81/712.23/992;
Aneurysm;;Slagæðagúlp (Aneurysm);;880/787/760/727.5/465/125/95/72/444/1865/20/727.5;
Anger;Run 2 - 3 times - or as needed. Works on dogs and cats;Reiði (Anger);Keyra 2 - 3 sinnum - eða eins og þörf krefur. Virðist virka á hunda og ketti;3.6/3.9/6.3;
Angina (quinsy in swat);;Hjartaöng (quinsy í Swat);;787/776/727.5/465/428/660;
Angina Pectoris;;Hjartaöng;;3/230/2720/2170/1800/1600/1500/880/832/787/776/727.5/465/444/1865/125/95/72/20/660/7.83;
Ankylosing spondylitis;;Hryggikt (Ankylosing spondylitis);;3000/95/1550/802/880/787/776/727.5/650/625/600/28/10/35/28/7.69/1.2/110/100/60/428/680;
Anosmia (loss of smell);;Anosmia (tap lykt);;20/10000;
Ataxia (lack of muscle coordination);;Ataxia (skortur á samhæfingu vöðva);;20/72/95/125/444/1865/600/625/650/660/690/727.5/776/787/807/813/880/1500/1600/1800/2170/2720/10000;
Ataxia Spastic;;Spasticdystonla ataxia;;7.69/7.7/7.83/8.25/9.19/9.2;
Anthrax;;Miltisbrandur (Anthrax);;500/633/1365/1370/768/414;
Apoplexy/stroke paralysis;;Heilablóðfall / lömun heilablóðfall;;40/1800/880/787/727.5/650/625/600/125/95/72/20/1865/522/428;
Appendicitis;If microperforation has occurred/infection must be eliminated before drinking any water. Even a few drops of water may be fatal;Botnlangabólga (Appendicitis);Ef smá hola hefur myndast á botnlanga verður að útrýma sýkingu áður en nokkuð vatn er drukkið. Jafnvel nokkrir dropar af vatni, geta valdið dauða;10/20/72/95/522/125/146/190/380/440/444/1865/450/600/625/650/660/690/727.5/787/802/1550/804/807/880/1570/1770;
Appetite/lack of;;Matarlyst / skortur á;;465/444/1865/125/95/72/20/10000/880/787/727.5;
Arenas tennus;;Arenas tennus;;667;
Arnica (a topical healing herb);;Arnica (baugi heilun jurt);;1042/1032;
Arsenic alb. (homeopathic cell salt);;Arsen ALB. (Hómópata klefi salt);;562;
Arteriosclerosis;Hardening of the arteries - regeneration takes time. Also try chlamydia pneumoniae and CMV freqs.;Æðakölkun;Herða í slagæðum - endurnýjun tekur tíma. Einnig reyna Chlamydia pneumoniae og CMV freqs.;10000/2720/2170/1800/1600/1500/880/787/776/727.5/20;
Arthritis;;Liðagigt (Arthritis);;120/727.5/787/880/1550/802/1664/80/60/40/30/25/26/20/10/5000/10000/7.69/3/1.2/28/1.5;
Arthritis And Joints;Pain;Liðagigt og Liðir;verkir;2720/10000;
Arthritis And Joints;General (10 minutes each);Liðagigt og Liðir (Arthritis and Joints);Almenn (10 mínútur hver);1.2/250/1.5;
Arthritis And Joints;General (20 minutes each);Liðagigt og Liðir (Arthritis and Joints);Almenn (20 mínútur hver);3/230/7.69/7.7/9.39/9.4/9.6/10/20/25/26/28/30/40/60/80/120;
Arthritis And Joints;General (3 minutes each);Liðagigt og Liðir (Arthritis and Joints);Almenn (3 mínútur hvert);512/660/690/727.5/776/787/802/1550/880/1500/1664/2720/3000/5000/10000;
Arthritis Ankylosing Spondylitis;;Liðagigt hryggikt (Arthritis Ankylosing Spondylitis);;1.2/250/7.69/7.7/10/28/35/60/100/95/110/428/600/625/650/680/660/690/727.5/776/787/802/1550/880/3000;
Arthritis Related to Gout;;Liðagigt - Tengt Þvagsýrugigt (Arthritis related to Gout);;9.39/9.4/20/660/690/727.5/787/880/3000/10000;
Arthritis Nervous System Paralysis;;Liðagigt Lömun Nervous System;;9.39/9.4/10000;
Arthritis Stomach Infection;;Liðagigt - Sýking í maga (Arthritis Stomach Infection);;9.39/9.4/10000;
Arthritis Tonsil Infection;;Liðagigt - Sýking í kirtlum (Arthritis Tonsil Infection);;9.39/9.4/10000;
Arthritis with Parathyroid Disturbances A;;Liðagigt með kalkkirtla truflun A (Arthritis with Parathyroid Disturbances A);;9.6/10000;
Arthritis with Parathyroid Disturbances B;;Liðagigt með kalkkirtla truflun B (Arthritis with Parathyroid Disturbances B);;326/328/4760.5/673.1/771;
Arthritis Bunion;;Bunion Liðagigt;;20/10000/2720;
Arthritis Bursitis;;Liðagigt belgbólga (Arthritis Bursitis);;660/690/727.5/787/880/10000;
Arthritis Elbow Pain;;Liðagigt verkur í olnboga (Arthritis Elbow Pain);;1.2/250/26/160/3000/10000;
Arthritis Epicondylalgia;;Liðagigt epicondylalgia;;1.2/250/26/160/3000/10000;
Arthritis Fluid in Joints and Tissues;;Liðagigt vökvi í liðum og vefjum (Arthritis Fluid in Joints and Tissues);;15/24.3;
Arthritis Hip Pain;;Liðagigt – Verkur í mjöðm (Arthritis Hip Pain);;20/660/690/727.5/787/880/2720/10000;
Arthritis Knee Pain;;Liðagigt - Verkur í kné (Arthritis Knee Pain);;1.2/250/3/230/7.69/7.7/9.39/9.4/9.6/20/28/73/160/660/690/727.5/787/802/1550/880/2720/3000;
Arthritis Osteoarthritis;;Liðagigt - Slitgigt;;15/324/326/528/770/1500;
Arthritis Polyarthritis;;Liðagigt fjöltaugagigt;;512;
Arthritis Reactive Arthritis;;Liðagigt reactive Liðagigt;;976,63;
Arthritis Rheumatism;;Liðagigt Rheumatism;;262/333/523/768/786/376/776/829/10000;
Arthritis Rheumatoid;A;Iktsýki A (Arthritis Rheumatoid);A;15/324/528/1.2/250/7.69/7.7/9.39/9.4/9.6/660/690/727.5;
Arthritis Rheumatoid;B;Iktsýki B (Arthritis Rheumatoid);B;3/230/20/28/262/600/625/650/776/787/802/1550/880/10000;
Arthritis secondary;;Liðagigt annars stigs;;2720/1000/1500/770;
Arthritis Arthrosis;Parathyroid disturbances affecting calcium metabolism;Liðagigt SLITGÍGT;Kalkkirtla truflanir sem hafa áhrif á efnaskipti kalsíums;9,6;
Arthritis Focal;origin gastrogenic / tonsiltogenic / and paresis;Liðagigt (Arthritis Focal);uppruna gastrogenic / tonsiltogenic / og lömun;9,39;
Asian grippe A;;The Asian stofn;;516/656/434;
Aspergillus flavus;Mold found on corn/peanuts/and grain that produces aflatoxin;Aspergillus flavus;Mold finna á maís / hnetum / og korn sem framleiðir aflatoxín;1823/247/1972;
Aspergillus glaucus;blue mold occurring in some human infectious processes;Aspergillus glaucus;blár mygla sem kemur fram hjá sumum mönnum smitandi ferli;524/758;
Aspergillus niger;common mold that may produce severe and persistent infection;Aspergillus niger;algengar mold sem getur valdið alvarlegum og viðvarandi sýkingu;374/697;
Aspergillus terreus;mold occasionally associated with infection of the bronchi and lungs;Aspergillus terreus;mold, stundum með sýkingu í berkjum og lungum;743/339;
Asthma;also see Breathing/deep and Liver support/and use Parasites roundworms/ascaris/and toxocara to determine which sets work best;Astma;einnig sjá Andardráttur / djúp og Liver stuðning / og nota sníkjudýrin spóluorma / ascaris / og Toxocara að ákvarða sem tíðnir vinna bestu;2720/2170/1800/1600/1500/1283/1233/880/787/727.5/0.5/522/146/125/95/72/444/20;
Asthma (1);;Astmi (1);;1283/1233/4.7;
Asthma (2);;Astmi (2);;1234/3672/7346/727.5/787/880/10000/47/120;
Ataxia;incoordination of muscles. Slow results in some cases - keep working at it;Ósamhæfing;Ósamhæfing á hreyfingu vöðva. Hægur árangur í sumum tilvikum - sýna þolgæði;2720/2170/1800/1600/1500/880/787/776/660/690/807/813/727.5/600/625/650/444/1865/125/95/72/20;
Ataxia/spastic;;Ósamhæfing / rykkir;;9.19/8.25/7.69;
Athletes foot;also see Epidermophyton floccinum and Tinea freqs;Íþróttamanns fótur;Einnig sjá húðþekjusvepp floccinum og Tinea freqs;20/727.5/787/880/5000/644/766/464/802/1552/9999/3176/304;
Atmenic Aib.;;Atmenic Aib.;;562;
AutoImmune Disorders;;Sjálfnæmisröskun (Autoimmune Disorders);;1.2/250/3/5.09/7.69/7.7/9.39/9.4/9.6/20/28/32.5/75.85/95.75/146/175/456/465/522/600/625/650/660/690/727.5/776/784/787/800/802/1550/880/927/1850/10000;
Autointoxication;;Sjálfseitrun;;522/146/1550/10000/800/880/787/727.5/20;
Bacteria;;Bakteríur;;20/465/660/690/727.5/664/784/787/800/802/1550/832/866/880;
Bacteria Actinomyces Bovis;;Bakteríur Actinomyces bovis;;488/565/672/674/678/766/768/773/774/775/776/777/778/822/885/887/7877/9687;
Bacillus Coli Rod Form;;Bacillus Coli Rod Form;;800;
Bacillus Coli Virus;;Bacillus Coli Veira;;1552;
Bacteria Actinomyces (In Animals);;Ígulgerlar - geislagerlar - bakteríur (í dýrum);;488/565/672/674/678/766/768/773/774/775/776/777/778/822/885/887/7877/9687;
Bacteria Actinomyces Israelii;;Ígulgerlar - geislagerlar - bakteríur israelii;;1.1/73/20/23/160/220/222/228/231/237/262/465/488/567/660/690/727.5/747/784/787/887/2154/2890/7880/10000;
Bacteria Actinomyces (In Humans);;Ígulgerlar - geislagerlar - bakteríur (í mönnum);;1.1/73/20/23/160/220/222/228/231/237/262/465/488/567/660/690/727.5/747/784/787/887/2154/2890/7880/10000;
Bacteria Anthrax A;A;Miltisbrandur A;A;622/623/624/627/628/629/632/633/634/637/638/639/642/643/644;
Bacteria Anthrax B;B;Miltisbrandur B;B;4000/16655/1370/1365/930/900/768/633/500/420/414/400/273/224/129;
Bacillinum (homeopathic nosode);;Bacillinum;;132/423/432/785/853/854/921/1027/1042/1932;
Bacteria Bacillus Coli Rod Form;;Bakteríur Bacillus Coli Rod Form;;800;
Bacteria Bacillus Coli Virus;;Bakteríur Bacillus Coli Veira;;1552/2872;
Bacteria Bacillus infections (B. coli/B. coli rod);;Bakteríur Bacillus sýkingar (coli B. / B. Coli stangir);;787/880/802/727.5/1552/800;
Bacteria Bacillus subtilis (can cause conjunctivitis);;Bakteríur Bacillus subtilis (getur valdið tárubólga);;432/722/822/1246;
Bacteria Bacillus thuringiensis;;Bakteríur Bacillus thuringiensis;;520/2551/902/1405;
Bacteria Bacillus Anthracis Spores;Run periodically every day;Bakteríur Bacillus anthracis Gró;Keyra reglulega á hverjum degi;959.15/961.76/970.31/386.95/391.45;
Bacteria Bacillus Botulinus;;Bakteríur Bacillus Botulinus;;172/518/533/639/660/690/727.5/683/691/802/1550/831/1372/1552/10000;
Bacteria Bacillus Botulism;;Bakteríur Botulism Bacillus;;172/518/533/639/660/690/727.5/683/691/802/1550/831/1372/1552/10000;
Bacteria Bacillus Licheniformis;;Bakteríur Bacillus licheniformis;;2655/21554;
Bacteria Bacillus Thuringiensis;;Bakteríur Bacillus thuringiensis;;520/902/1405/2551;
Bacteria Bacteroides fragilis;;Bakteríur Bacteroides fragilis;;16180.80/16230.58/808.07/805.59;
Bacteria Bartonella quintana;;Bakteríur Bartone Quintana;;356/547;
Bacteria Febris Wolhynia;;Bakteríur ásamt hita Wolhynia;;356/547;
Bacteria Wolhynia Fever;;Bakteríur Wolhynia hiti;;356/547;
Bacteria Trench Fever;;Bakteríur Trench Fever;;356/547;
Bacteria Quintan Fever;;Bakteríur Quintan hiti;;356/547;
Bacteria Skin Bone Fever;;Bakteríur Skin Bone Fever;;356/547;
Bacteria Whooping Cough;Bacteria Bordettella parapertussis;Kíghósti bakteríur;;46/284/526/660/690/727.5/697/765/906/9101/820.47/776/787/802/1550/832/880/1234/7344;
Bacteria Borrelia all types (Lyme disease (Run for 10 minutes));;Allar gerðir Borrelia bakteríur (Lyme sjúkdómur (Run í 10 mínútur));;941.93/18919.09;
Bacteria Borreliosis (Lyme disease (Run for 10 minutes));;Gerlar Borreliosis (Lyme sjúkdómur (Run í 10 mínútur));;941.93/18919.09;
Bacteria Lyme Disease (Run for 10 minutes);;Lyme Disease Bakteríur (Keyra í 10 mínútur);;941.93/18919.09;
Bacteria Borrelia Hatchlings and Eggs;;Bakteríur Borrelia Hatchlings og egg;;203/412/414/589/640/667/840/1000/1072/1087/1105/8554;
Bacteria Deer Tick;;Hreindýra Tick Bakteríur;;271/289/671/737/738/773;
Bacteria Brucella – all types;;Brucella baktería - allar tegundir;;1423/643/695/748;
Bacteria Campylobacter;;Campylobactersýklum;;333/523/768/786/378/732/733/1633/1834/2222/879.96;
Bacteria Chlamydia pneumoniae;(Possibly related to Multiple Sclerosis - MS);Bakteríur Klamydía pneumoniae;(Hugsanlega tengjast MS - MS);4710.5/470/471/472/479/620/940.1/942.9/1880.1/1885.9/3760.3/3771.7/7520.5/7543.4/471/942/1886/3772/7543;
Bacteria Chlamydia trachomatis;(Sexually transmitted microbe);Chlamydia trachomatis Bakteríur;(Kynferðislega send microbe);430/555.7/620/624/840/866/1111.4/2213/2222.8/944.4/18968.87;
Bacteria Clostridium difficile;;Bakteríur Clostridium difficile;;387/635/673;
Bacteria Pseudomembranous Colitis;;Bakteríur sýndarhimnuristilbólga;;387/635/673;
Bacteria Clostridium tetani;;Bakteríur Clostridium tetani;;120/244/352/363/458/465/554/600/625/650/628/660/690/727.5/787/880/1142;
Bacteria Tetanus;;Stífkrampa bakteríur;;120/244/352/363/458/465/554/600/625/650/628/660/690/727.5/787/880/1142;
Bacteria Lockjaw;;Bakteríurnar Lockjaw;;120/244/352/363/458/465/554/600/625/650/628/660/690/727.5/787/880/1142;
Bacteria Corynebacterium diphtheriae;;Bakteríur KylfugeriR diphtheriae;;151/340/432/590/624/776/788/925/847.73;
Bacteria Diphtheria;;Barnaveiki bakteríur;;151/340/432/590/624/776/788/925/847.73;
Backache (if no relief from these/use kidney stimulation freqs and drink plenty of water);;Bakverk (ef ekkert hefur dregið úr Estes / nota nýrna örvun freqs og drekka nóg af vatni);;760/1550/802/880/787/727.5/10000/41.2/212/305/33;
Backache and spasms (1);;Bakverk og krampar (1);;120/212/240/424/465/528/760/727.5/787/880/1550/2112/5000/10000;
Back pain (1);;Bakverkur (1);;9.3/9.4/9.6/7.6/7.7/3/0.5/432/465/727.5/728/776/784/787;
Bacteria Lactis Nosode;;Bakteríurnar lactis nosode;;512/526/5412;
Bacterial infections;if bacterial infection is chronic and the type is accurately diagnosed and neither frequencies nor antibiotics are effective long term/also use Parasites general and roundworms sets.Also see General antiseptic and specific types.;Bakteríusýkingar;ef bakteríusýking er langvinn og gerð er nákvæmlega greind og hvorki tíðnir né sýklalyf eru árangursríkar til lengri tíma / líka notað Sníkjudýr almennt og spóluorma tíðni. Einnig sjá almennar sótthreinsandi tíðnir;20/465/866/664/690/727.5/787/832/800/880/1550/784;
Bacteria E. coli;;Bakteríur E. coli;;974.15/882.44/282/289/327/332/358/413/539/548/642/798/799/800/801/802/1550/804/832/834/957/1320/1550/1551/1552/1722/1729/7847/7849;
Bacteria E. coli Mutant Strain;;Bakteríur E. coli stökkbreyttur stofn;;556/632/634/776/934/1242/1244/1703;
Bacteria E. coli Rod Form and Other Forms;;Rod Form Bakteríur E. coli og aðrar milliverkanir;;282/289/327/333/413/548/642/787/799/800/802/1550/804/832/880/957/1320/1552/1722/2872/7849/660/690/727.5;
Bacterium coli;a type of E. coli normally found in the intestines/water -milk/and soil that is the most frequent cause of urinary-tract infections and a common cause of wound infection;Bakteríur coli;gerð E. coli yfirleitt að finna í þörmum / vatns Mjólk / og jarðvegi sem er algengasta orsök sýkinga þvagi-svæði og algeng orsök sýking í sári;642/358/539;
Bacterium coli commune (E. coli) combination;;Bakteríu coli samfélag (E. coli) samsetning;;282/333/413/957/1320/1722;
Bacteria Escherichia coli;;Bakteríur Escherichia coli;;974.15/882.44/282/289/327/332/358/413/539/548/642/798/799/800/801/802/1550/804/832/834/957/1320/1550/1551/1552/1722/1729/7847/7849;
Bacteria Ehrlichia chaffeensis;;Bakteríur Ehrlichia chaffeensis;;300/336.4/382.2/394.7/528.4/672.7/749.2/764.4/918/1200/1317.2/1345.4/1369.8/1364.9/14980.5/1836;
Bacteria Ehrlichiosis;;Bakteríur Ehrlichiosis;;300/336.4/382.2/394.7/528.4/672.7/749.2/764.4/918/1200/1317.2/1345.4/1369.8/1364.9/14980.5/1836;
Bacteria Ehrlichia equi;;Bakteríur Ehrlichia equi;;1.2/250/295/354.2/349/406/469.7/590/637.9/698/7080.5/939.3/1180/1223.4/1416.9/1878.7/2833.9/3248.3/3757.3;
Bacteria Ehrlichiosis;;Bakteríur Ehrlichiosis;;1.2/250/295/354.2/349/406/469.7/590/637.9/698/7080.5/939.3/1180/1223.4/1416.9/1878.7/2833.9/3248.3/3757.3;
Bacteria Gordonia sputi;;Bakteríur Gordonia sputi;;381.2/400.6/429.1/435.4/762.3/801.2/858.2/870.7/3432.8/1524.7/1602.3/1716.4/17410.5/3049/3204.6/3483;
Bacteria Helicobacter pylori;(Run for 10 minutes);Bakteríur Helicobacter pylori;Keyra í 10 mínútur;660/690/727.5/676/880/2167/2950;
Bacteria Mycobacterium Avium;Crohn''s Disease;Bakteríur Mycobacterium avium;Disease Crohns;529.3/590/608.4/615.7/617.8/619.7/625.9/632.2/642.2/674.3/680.4/680.8/694.1/700.9/769.6/770.6/773.3/786.7/803.4/818.5/824.5/825.7/830/857.6/858.2/860.2/896.9/937.4/953.6/1001.2/1037.3/1058.6/1148.3/1180/1235.7/2075/2114.1/2471.3/21508.01/1070.82/802/1550;
Bacterium lactis nosode;;Bakteríur lactis nosode;;512/526/798/951/5412;
Bacteria Strep Throat;;Bakteríur streptokokka í hálsi;;924.57/1857.58/20/465/660/690/727.5/784/787/875/885/880/2000/10000;
Bacteria Streptococcus viridans;;Streptococcus víridans;;425/433/445/935/1010/1060/8478/457/465/777/778/1214/1216;
Bacteroides fragilis;use with Parasites ascaris set;Bacteroides fragilis;nota sníkjudýrum ascaris sett;633/634/635/636/637;
Bakers Yeast allergy;homeopathic preparation;Ofnæmi Bakara Ger;hómópata undirbúningi;775/843;
Banti’'s syndrome;Ailment in which blood vessels between the intestines and the liver become blocked -leading to congestion of the veins/an enlarged spleen/bleeding of the stomach and intestines/cirrhosis of the liver/and blood cell destruction.;S Banti heilkenni;Lasleiki sem æðarnar milli þörmum og lifur verða læst -leading til þrengslum í æðum / stækkuðu milta / blæðingar í maga og þörmum / skorpulifur / og blóð klefi eyðileggingu.;1778;
Barley smut;homeopathic preparation for an allergen;Bygg SMUT;hómópatísk undirbúningur fyrir mótefnisvaka;377/224/1447;
Basidiomycetes;;Basidiomycetes;;751;
BC G Vaccine;;G BC Bóluefni;;277/768/832/725;
Backache;;Bakverkur;;727.5/787/880/10000;
Bad Breath;;Andremma;;20/727.5/787/880/5000;
Bad Complexion;;Bad yfirbragð;;727.5/787/880/5000;
Bad Teeth;;Slæmar Tennur;;20/727.5/787/880/5000;
Bed Wetting;;Næturvæta;;727.5/787/880/5000/10000;
Bent Back;;Bent baka;;727.5/787/880/5000/10000;
Biliousness;;Biliousness;;727.5/787/880/5000/10000;
Bites (insects);;Skordýrabit;;727.5/787/880/5000;
Blood Cleanser (cancer);;Blóð Hreinsandi (krabbamein);;2008/2127/727.5/787/880/5000;
Blood Diseases;;Blóðsjúkdómar;;727.5/787/880/5000;
Blood Pressure High;;Hár blóðþrýstingur;;727.5/787/304/728/880/9.19/5000/10000;
Blood Pressure Low;;Lágur blóðþrýstingur;;20/727.5/787/880;
Boils;;Snýst;;20/727.5/787/880/5000;
Bones (cut or broken);;Bein (skorin eða brotinn);;727.5/787/880/5000/10000;
Breast Trouble;;Brjóst vandræði;;727.5/787/880/5000;
Breast Tumor;;Brjóst Æxli;;2008/2127/727.5/787/880/5000;
Breathing;;Öndun;;727.5/787/880/5000;
Brights Syndrome (Nephritis);;Brights Syndrome (nýrnabólga);;727.5/787/880/5000;
Bronchitis;;Berkjubólga;;727.5/880;
Bronco Pneumonia;;Bronco Lungnabólga;;727.5/787/880/5000;
Bruises;;Marbletti;;727.5/787/880/10000;
Bubonic Plague;;Bubonic plága;;20/727.5/787/880/5000;
Bunion Pain;;Bunion Verkir;;20/727.5/787/880/5000;
Burns and Polarizers;;Burns og polarizers;;727.5/787/880/10000;
Burns - radium and Polarizers;;Burns - Radium og polarizers;;727.5/787/880;
Bursitis;;Belgbólga;;727.5/787/880;
Butterfly Lupus;;lupus Butterfly;;776/1850/727.5/787/880;
Bed wetting (enuresis);See also Parasite general/pinworm/and ascaris freqs;Næturvæta - Ósjálfráð þvaglát;Sjá einnig Parasite almennt / pinworm / og ascaris freqs;880/1550/802/787/727.5/465;
Bedsores;;Legusár;;880/1550/802/787/727.5/465/20/1.2/73;
Bermuda smut (homeopathic preparation for an allergen);;Bermuda SMUT (hómópatísk undirbúningur fyrir mótefnum);;422/767/847/971/644/780;
Biliary cirrhosis (an inflammatory condition in which bile flow through the liver is obstructed);;Gallskorpulifur (bólgusjúkdómur ástandi þar sem galli rennsli í gegnum lifur hindra);;381/514/677/2271/1250/170/715/774/776;
Biliary headache;;Gall tengdur höfuðverkur;;8.5/3.5;
Biliousness;;Biliousness;;1550/802/10000/880/832/787/727.5/465;
Bilirubin (a bile pigment that may result in jaundice in high concentrations. See also Liver support);;Bilirúbíns (galli litarefni Que getur valdið gulu í háum styrk. Sjá einnig Lifur stuðningur);;717/726/731/863/9305/649/734;
Insects bite;;Skordýrabit;;880/727.5;
Black widow;;Svarta ekkjan bit;;376/728;
Bladder and prostate complaints;;Blöðru- og blöðruhálskirtli kvartanir;;880/1550/802/787/727.5/465/20/9.39;
Bladder TBC;;Þvagblöðru TBC;;642/771/360/726/724;
Blastocystis hominis;;Blastocystis hominis;;365/595/844/848/1201/1243/5777/11425/11841/11967/13145/13469/21776;
Blepharisma;;Blepharisma;;3120;
Blood diseases;;Blóðsjúkdómar;;880/787/727.5;
Blue cohosh (a healing herb);;Blue cohosh (a healing herb);;364;
Bone disease/periodontal disease (see osteo);;Beinasjúkdómi / tannholdsbólgu (slitgigt sjá);;47.5/1800/1600/650/625/600/880/787/776/727.5;
Bone regeneration;;Bein - endurnýjun;;2720/10000;
Bone spurs;;Bone Tottenham;;1.2/250;
Bone trauma (cuts/fractures);;Bone áverka (sár / brotum);;380/1550/802/10000/880/787/727.5/2720;
Botrytis;;Botrytis;;1545;
